id,parent_id/id,code,name,iva_affected,tax_category,internet_available,active
l10n_cl_partner_activity_293,l10n_cl_partner_activity_292,275000,FABRICACIÓN DE APARATOS DE USO DOMÉSTICO ,yes,1,1,1
l10n_cl_partner_activity_294,l10n_cl_partner_activity_120,,FABRICACIÓN DE OTROS TIPOS DE EQUIPO ELÉCTRICO                ,not,nd,1,1
l10n_cl_partner_activity_295,l10n_cl_partner_activity_294,279000,FABRICACIÓN DE OTROS TIPOS DE EQUIPO ELÉCTRICO ,yes,1,1,1
l10n_cl_partner_activity_296,l10n_cl_partner_activity_120,,FABRICACIÓN DE MAQUINARIA DE USO GENERAL                 ,not,nd,1,1
l10n_cl_partner_activity_297,l10n_cl_partner_activity_296,281100,"FABRICACIÓN DE MOTORES Y TURBINAS, EXCEPTO PARA AERONAVES, VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS ",yes,1,1,1
l10n_cl_partner_activity_298,l10n_cl_partner_activity_296,281200,FABRICACIÓN DE EQUIPO DE PROPULSIÓN DE FLUIDOS ,yes,1,1,1
l10n_cl_partner_activity_299,l10n_cl_partner_activity_296,281300,"FABRICACIÓN DE OTRAS BOMBAS, COMPRESORES, GRIFOS Y VÁLVULAS ",yes,1,1,1
l10n_cl_partner_activity_300,l10n_cl_partner_activity_296,281400,"FABRICACIÓN DE COJINETES, ENGRANAJES, TRENES DE ENGRANAJES Y PIEZAS DE TRANSMISIÓN ",yes,1,1,1
l10n_cl_partner_activity_301,l10n_cl_partner_activity_296,281500,"FABRICACIÓN DE HORNOS, CALDERAS Y QUEMADORES ",yes,1,1,1
l10n_cl_partner_activity_302,l10n_cl_partner_activity_296,281600,FABRICACIÓN DE EQUIPO DE ELEVACIÓN Y MANIPULACIÓN ,yes,1,1,1
l10n_cl_partner_activity_303,l10n_cl_partner_activity_296,281700,FABRICACIÓN DE MAQUINARIA Y EQUIPO DE OFICINA (EXCEPTO COMPUTADORES Y EQUIPO PERIFÉRICO) ,yes,1,1,1
l10n_cl_partner_activity_304,l10n_cl_partner_activity_296,281800,FABRICACIÓN DE HERRAMIENTAS DE MANO MOTORIZADAS ,yes,1,1,1
